timestamp,vault_id,count,mean_s194,stddev_s194
2023-04-01T00:00:00.000000,1003,5603,18.611814,5.371533
2023-04-01T00:00:00.000000,1002,5634,22.889954,6.8590293
2023-04-01T00:00:00.000000,1010,5471,22.327728,8.083601
2023-04-01T00:00:00.000000,1016,5457,27.002382,27.480112
2023-04-01T00:00:00.000000,1013,5462,26.63658,21.86518
2023-04-01T00:00:00.000000,1008,5558,29.669485,17.12016
2023-04-01T00:00:00.000000,1014,5467,26.231937,35.78085
2023-04-01T00:00:00.000000,1015,5481,26.147053,17.491238
2023-04-01T00:00:00.000000,1018,5472,27.777779,17.919916
2023-04-01T00:00:00.000000,1017,5473,28.280285,30.551807
2023-04-01T00:00:00.000000,1007,5508,25.983116,20.993723
2023-04-01T00:00:00.000000,1000,5538,22.374142,5.925023
2023-04-01T00:00:00.000000,1011,5473,26.365248,43.077812
2023-04-01T00:00:00.000000,1009,5441,27.495682,10.570878
2023-04-01T00:00:00.000000,1019,5551,27.823635,29.118418
2023-04-01T00:00:00.000000,1012,5630,30.422558,48.06674
2023-04-01T00:00:00.000000,1020,5448,26.391336,30.41367
2023-04-01T00:00:00.000000,1006,5572,22.92552,13.802241
2023-04-01T00:00:00.000000,1001,5447,18.538645,3.673511
2023-04-01T00:00:00.000000,1004,5537,19.974174,7.680568
2023-04-01T00:00:00.000000,1005,5539,21.455317,7.5410166
2023-04-11T00:00:00.000000,1010,7238,22.017685,7.841909
2023-04-11T00:00:00.000000,1007,7148,25.801064,21.427689
2023-04-11T00:00:00.000000,1000,6025,22.059254,5.882132
2023-04-11T00:00:00.000000,1003,6032,18.3939,5.412814
2023-04-11T00:00:00.000000,1006,6112,22.939137,14.86246
2023-04-11T00:00:00.000000,1012,6063,30.681345,40.25373
2023-04-11T00:00:00.000000,1020,7150,25.91888,28.860273
2023-04-11T00:00:00.000000,1015,6143,26.22318,16.21537
2023-04-11T00:00:00.000000,1011,6070,25.981548,43.234917
2023-04-11T00:00:00.000000,1014,7196,26.464008,34.745647
2023-04-11T00:00:00.000000,1008,6116,29.20716,16.234226
2023-04-11T00:00:00.000000,1018,6157,27.896215,17.575878
2023-04-11T00:00:00.000000,1004,6111,19.783833,7.63532
2023-04-11T00:00:00.000000,1013,6016,27.18401,29.313381
2023-04-11T00:00:00.000000,1019,6025,27.98971,28.667114
2023-04-11T00:00:00.000000,1017,5967,28.282555,29.891003
2023-04-11T00:00:00.000000,1005,6074,21.269674,8.085985
2023-04-11T00:00:00.000000,1001,6007,18.2284,3.292265
2023-04-11T00:00:00.000000,1016,7297,27.403591,29.064331
2023-04-11T00:00:00.000000,1009,5976,26.907799,8.173728
2023-04-11T00:00:00.000000,1002,7182,22.565998,6.747454
