timestamp,vault_id,count,mean_s194,stddev_s194
2023-04-01T00:00:00.000000,1003,560,18.360714,5.302028
2023-04-01T00:00:00.000000,1002,557,22.637342,6.392717
2023-04-01T00:00:00.000000,1015,538,26.165428,16.617615
2023-04-01T00:00:00.000000,1012,567,30.75485,58.446075
2023-04-01T00:00:00.000000,1010,521,22.051823,7.776585
2023-04-01T00:00:00.000000,1016,537,26.389198,21.440702
2023-04-01T00:00:00.000000,1013,540,26.687037,19.652054
2023-04-01T00:00:00.000000,1008,577,29.589254,17.13978
2023-04-01T00:00:00.000000,1004,545,19.702753,7.1776986
2023-04-01T00:00:00.000000,1014,548,26.083942,30.175436
2023-04-01T00:00:00.000000,1018,544,27.325367,14.590827
2023-04-01T00:00:00.000000,1017,556,28.197842,28.932081
2023-04-01T00:00:00.000000,1007,554,25.743683,21.396395
2023-04-01T00:00:00.000000,1000,564,22.14539,5.6384363
2023-04-01T00:00:00.000000,1011,526,26.256655,43.749718
2023-04-01T00:00:00.000000,1009,533,27.748592,11.437733
2023-04-01T00:00:00.000000,1019,565,27.762833,25.897734
2023-04-01T00:00:00.000000,1001,548,18.248175,3.4895039
2023-04-01T00:00:00.000000,1020,573,26.516579,34.319534
2023-04-01T00:00:00.000000,1006,556,22.791367,15.474458
2023-04-01T00:00:00.000000,1005,547,21.259598,7.501165
2023-04-02T00:00:00.000000,1014,548,25.638685,38.347553
2023-04-02T00:00:00.000000,1005,564,22.156029,6.8870025
2023-04-02T00:00:00.000000,1009,545,27.695414,11.107226
2023-04-02T00:00:00.000000,1002,556,23.946043,6.4215493
2023-04-02T00:00:00.000000,1019,567,26.96649,30.042969
2023-04-02T00:00:00.000000,1006,593,23.075886,9.199975
2023-04-02T00:00:00.000000,1010,549,23.429873,8.219582
2023-04-02T00:00:00.000000,1000,552,23.355072,5.3123293
2023-04-02T00:00:00.000000,1003,573,19.586388,4.9231653
2023-04-02T00:00:00.000000,1001,555,19.488289,3.828241
2023-04-02T00:00:00.000000,1004,546,20.901098,6.378497
2023-04-02T00:00:00.000000,1020,534,26.602997,28.426659
2023-04-02T00:00:00.000000,1018,584,26.746574,17.038515
2023-04-02T00:00:00.000000,1017,533,27.53471,28.99176
2023-04-02T00:00:00.000000,1015,558,25.351255,18.769093
2023-04-02T00:00:00.000000,1007,546,25.53663,15.951955
2023-04-02T00:00:00.000000,1016,532,26.518797,26.287241
2023-04-02T00:00:00.000000,1012,550,29.969091,68.84814
2023-04-02T00:00:00.000000,1011,582,26.647766,39.173183
2023-04-02T00:00:00.000000,1013,549,25.932604,23.807844
2023-04-02T00:00:00.000000,1008,564,28.863476,17.87675
2023-04-03T00:00:00.000000,1000,540,23.561111,5.2314506
2023-04-03T00:00:00.000000,1007,555,25.47027,14.876143
2023-04-03T00:00:00.000000,1005,564,22.39539,6.2035956
2023-04-03T00:00:00.000000,1009,533,27.915573,13.187994
2023-04-03T00:00:00.000000,1010,542,23.697416,7.351248
2023-04-03T00:00:00.000000,1014,546,25.620878,38.528427
2023-04-03T00:00:00.000000,1012,565,29.792921,59.226143
2023-04-03T00:00:00.000000,1001,530,19.879246,2.9552295
2023-04-03T00:00:00.000000,1011,522,26.802683,34.04344
2023-04-03T00:00:00.000000,1006,557,23.127468,9.378725
2023-04-03T00:00:00.000000,1020,545,27.192661,28.364717
2023-04-03T00:00:00.000000,1019,556,27.370504,31.47064
2023-04-03T00:00:00.000000,1016,565,26.242477,29.514656
2023-04-03T00:00:00.000000,1002,570,24.235088,6.232453
2023-04-03T00:00:00.000000,1004,563,21.085258,6.9802976
2023-04-03T00:00:00.000000,1017,540,27.90926,31.438063
2023-04-03T00:00:00.000000,1008,560,28.601786,20.728926
2023-04-03T00:00:00.000000,1018,551,26.905626,19.30144
2023-04-03T00:00:00.000000,1015,562,25.209965,17.959475
2023-04-03T00:00:00.000000,1013,541,25.667282,23.771
2023-04-03T00:00:00.000000,1003,572,19.818182,4.243166
2023-04-04T00:00:00.000000,1004,546,19.86447,7.5896897
2023-04-04T00:00:00.000000,1009,542,27.483395,11.153783
2023-04-04T00:00:00.000000,1002,557,22.592459,6.7297816
2023-04-04T00:00:00.000000,1019,558,27.99104,27.069813
2023-04-04T00:00:00.000000,1016,541,26.983364,27.081055
