ts,vault_id,min,25perc,50perc,75perc,max,count
2023-04-01T00:00:00.000000,1113,38436,38440.5,38455.5,38466.5,38467,4
2023-04-01T00:00:00.000000,1111,39385,39390.0,39405.0,39408.0,39409,3
2023-04-01T00:00:00.000000,1120,35996,35996.0,35996.0,35996.0,35996,1
2023-04-01T00:00:00.000000,1106,16116,17153.0,18742.5,47903.0,76511,4
2023-04-01T00:00:00.000000,1118,37494,37496.25,37498.0,37507.25,37514,5
2023-04-01T00:00:00.000000,1092,48846,48854.5,48863.332,48864.0,48864,4
2023-04-01T00:00:00.000000,1097,17698,18956.0,22730.0,24635.0,25270,3
2023-04-01T00:00:00.000000,1109,20830,20830.0,21273.0,21716.0,21716,2
2023-04-01T00:00:00.000000,1104,17865,17865.0,19627.0,21389.0,21389,2
2023-04-01T00:00:00.000000,1101,14953,15395.0,15838.0,17499.0,19159,4
2023-04-01T00:00:00.000000,1117,7493,12574.5,19309.5,21586.0,22209,4
2023-04-01T00:00:00.000000,1096,47050,47053.0,47058.0,47064.0,50646,6
2023-04-01T00:00:00.000000,1108,15898,17359.0,21741.0,22623.5,23705,5
2023-04-01T00:00:00.000000,1103,14857,14859.0,19692.5,26039.5,27555,4
2023-04-01T00:00:00.000000,1115,16077,16117.0,19646.5,24235.0,24236,6
2023-04-01T00:00:00.000000,1119,16677,20037.0,21243.0,22686.0,24520,8
2023-04-01T00:00:00.000000,1099,13637,15388.0,19896.5,25404.0,25405,6
2023-04-01T00:00:00.000000,1102,15120,18929.5,21761.0,23011.5,24546,11
2023-04-01T00:00:00.000000,1100,23721,24218.25,24601.0,25086.5,25091,5
2023-04-01T00:00:00.000000,1116,12644,17556.75,21364.0,21648.75,24135,7
2023-04-01T00:00:00.000000,1090,39504,44468.0,49441.0,49455.0,49460,4
2023-04-01T00:00:00.000000,1114,17128,17559.5,19117.5,20738.0,21232,4
2023-04-01T00:00:00.000000,1107,17059,17364.0,20541.0,30230.0,37047,4
2023-04-01T00:00:00.000000,1091,49142,49143.5,49148.0,49152.5,49154,3
2023-04-01T00:00:00.000000,1112,18016,18140.5,18514.0,21575.5,22596,3
2023-04-01T00:00:00.000000,1105,16485,16633.25,20186.0,22540.75,24352,9
2023-04-01T00:00:00.000000,1110,16956,17561.5,20641.5,22258.0,22584,8
2023-04-01T00:00:00.000000,1094,16526,19832.75,22602.0,22975.0,24088,5
2023-04-01T00:00:00.000000,1098,17011,17011.0,20014.0,23017.0,23017,2
2023-04-01T00:00:00.000000,1093,3917,38822.0,48501.0,48505.625,48509,11
2023-04-01T00:00:00.000000,1095,15500,17121.5,17708.0,19124.0,22357,7
2023-04-02T00:00:00.000000,1109,15702,18689.0,19978.5,23295.5,27322,12
2023-04-02T00:00:00.000000,1100,18463,19386.0,23960.5,25117.0,54954,10
2023-04-02T00:00:00.000000,1113,38450,38470.5,38483.5,38492.0,38534,16
2023-04-02T00:00:00.000000,1119,16473,17198.5,18448.0,19196.25,23655,13
2023-04-02T00:00:00.000000,1092,43868,48875.5,48906.0,48931.75,49125,9
